step,step_distance,ref_step_epd,agent_step_epd_accounted,agent_step_epd_raw,step_saving_accounted_pct,step_saving_raw_pct,step_net_saving_accounted_pct,step_net_saving_raw_pct,running_saving_accounted_pct,running_saving_raw_pct,running_saving_iso_pct,running_net_saving_accounted_pct,running_net_saving_raw_pct,running_net_saving_iso_pct,rolling_saving_accounted_pct,rolling_saving_raw_pct,rolling_net_saving_accounted_pct,rolling_net_saving_raw_pct,rolling_raw_energy_saved,rolling_accounted_energy_saved,rolling_pure_energy_saved,rolling_pure_net_energy_saved
1.00000000,0.99741787,0.00014716,0.00012065,0.00012065,18.01504135,18.01504135,18.01504135,18.01504135,18.03390121,18.03390121,14.24593639,18.03390121,18.03390121,17.31540108,18.01504135,18.01504135,18.01504135,18.01504135,0.00002648,0.00002648,0.00002092,0.00002542
2.00000000,0.99736124,0.00042736,0.00038954,0.00038954,8.84969044,8.84969044,8.84969044,8.84969044,11.24390697,11.24390697,9.30383301,11.24390697,11.24390697,10.87592030,11.20599079,11.20599079,11.20599079,11.20599079,0.00006446,0.00006446,0.00005334,0.00006235
3.00000000,1.00487626,0.00119331,0.00114166,0.00114166,4.32889223,4.32889223,4.32889223,4.32889223,6.63696814,6.63696814,5.69638109,6.63696814,6.63696814,6.45855665,6.57512379,6.57512379,6.57512379,6.57512379,0.00011773,0.00011773,0.00010104,0.00011456
4.00000000,1.01259375,0.00122773,0.00116585,0.00116585,5.04066467,5.04066467,5.04066467,5.04066467,6.04600477,6.04600477,5.30919075,6.04600477,6.04600477,5.90624142,5.95855093,5.95855093,5.95855093,5.95855093,0.00018254,0.00018254,0.00016029,0.00017832
5.00000000,1.02053738,0.00125652,0.00119248,0.00119248,5.09612036,5.09612036,5.09612036,5.09612036,5.82829285,5.82829285,5.18228579,5.82829285,5.82829285,5.70575666,5.71388102,5.71388102,5.71388102,5.71388102,0.00025088,0.00025088,0.00022307,0.00024560
6.00000000,1.03023338,0.00143515,0.00137186,0.00137186,4.41013670,4.41013670,4.41013670,4.41013670,5.53603411,5.53603411,4.95945454,5.53603411,5.53603411,5.42667103,5.39402676,5.39402676,5.39402676,5.39402676,0.00032039,0.00032039,0.00028702,0.00031406
7.00000000,1.03883052,0.00132748,0.00126736,0.00126680,4.52920628,4.57113361,4.52920628,4.57113361,5.40521240,5.41327667,4.86234045,5.40521240,5.41327667,5.30224562,5.23598766,5.24406672,5.23598766,5.24406672,0.00038819,0.00038761,0.00034868,0.00038023
8.00000000,1.04969144,0.00155355,0.00149898,0.00149777,3.51269031,3.59026313,3.51269031,3.59026313,5.12367725,5.14459991,4.61856890,5.12367725,5.14459991,5.02786779,4.92777586,4.94874144,4.92777586,4.94874144,0.00045315,0.00045131,0.00040682,0.00044287
9.00000000,1.06327927,0.00183070,0.00177943,0.00177771,2.80061626,2.89457774,2.80061626,2.89457774,4.77826691,4.81239319,4.31324959,4.77826691,4.81239319,4.69006109,4.55648994,4.59069586,4.55648994,4.59069586,0.00051797,0.00051430,0.00046425,0.00050480
10.00000000,1.07555950,0.00170321,0.00165570,0.00165355,2.78994560,2.91576481,2.78994560,2.91576481,4.55490875,4.60232735,4.11366320,4.55490875,4.60232735,4.47121048,4.30854797,4.35608912,4.30854797,4.35608912,0.00058007,0.00057410,0.00051848,0.00056355
11.00000000,1.08568609,0.00148852,0.00144687,0.00144444,2.79762864,2.96128869,2.79762864,2.96128869,4.41037607,4.47097063,3.98041391,4.41037607,4.47097063,4.32881975,3.97457695,4.03599501,3.97457695,4.03599501,0.00060966,0.00060104,0.00054542,0.00059049
12.00000000,1.10021281,0.00192933,0.00189417,0.00189166,1.82222426,1.95257008,1.82222426,1.95257008,4.14064646,4.21025801,3.73277593,4.14064646,4.21025801,4.06328535,3.54264903,3.61504030,3.54264903,3.61504030,0.00062442,0.00061304,0.00055742,0.00060249
13.00000000,1.11853456,0.00231302,0.00228312,0.00228066,1.29250598,1.39894474,1.29250598,1.39894474,3.82399344,3.89857936,3.44274426,3.82399344,3.89857936,3.75167775,3.15042353,3.23303127,3.15042353,3.23303127,0.00062159,0.00060744,0.00055183,0.00059689
14.00000000,1.13838112,0.00255693,0.00253054,0.00252822,1.03217804,1.12286329,1.03217804,1.12286329,3.52471733,3.60139227,3.16904831,3.52471733,3.60139227,3.45724869,2.69885969,2.78817368,2.69885969,2.78817368,0.00060583,0.00058905,0.00053344,0.00057850
15.00000000,1.15803838,0.00262813,0.00260656,0.00260447,0.82094353,0.90024203,0.82094353,0.90024203,3.26203775,3.33897614,2.92770410,3.26203775,3.33897614,3.19861579,2.27033401,2.36373878,2.27033401,2.36373878,0.00058225,0.00056306,0.00050744,0.00055251
16.00000000,1.18054366,0.00300823,0.00298864,0.00298685,0.65136409,0.71082878,0.65136409,0.71082878,3.00617361,3.08088827,2.69420862,3.00617361,3.08088827,2.94700384,1.87651217,1.97068489,1.87651217,1.97068489,0.00055838,0.00053708,0.00048146,0.00052653
17.00000000,1.19983816,0.00277758,0.00276211,0.00276065,0.55700850,0.60943270,0.55700850,0.60943270,2.80851769,2.88085556,2.51191306,2.80851769,2.88085556,2.75225592,1.54543221,1.63689280,1.54543221,1.63689280,0.00053008,0.00050761,0.00045200,0.00049706
18.00000000,1.22125757,0.00311951,0.00307154,0.00306995,1.53779101,1.58868599,1.53779101,1.58868599,2.73549795,2.80549955,2.45514894,2.73549795,2.80549955,2.68232489,1.42332935,1.50985646,1.42332935,1.50985646,0.00054863,0.00052548,0.00046986,0.00051493
19.00000000,1.24308038,0.00324634,0.00320859,0.00320705,1.16280496,1.21038461,1.16280496,1.21038461,2.63717341,2.70486116,2.37146616,2.63717341,2.70486116,2.58677316,1.29389060,1.37446582,1.29389060,1.37446582,0.00055770,0.00053446,0.00047885,0.00052391
20.00000000,1.26452577,0.00332615,0.00326778,0.00326602,1.75488687,1.80784869,1.75488687,1.80784869,2.61370492,2.67994404,2.36092591,2.61370492,2.67994404,2.56576014,1.26793277,1.34213436,1.26793277,1.34213436,0.00059915,0.00057598,0.00052037,0.00056543
21.00000000,1.28236401,0.00302363,0.00300191,0.00300041,0.71842104,0.76809615,0.71842104,0.76809615,2.51225615,2.57712007,2.26846194,2.51225615,2.57712007,2.46600723,1.12819529,1.19523644,1.12819529,1.19523644,0.00059842,0.00057598,0.00052036,0.00056543
22.00000000,1.30099142,0.00322564,0.00317592,0.00317434,1.54151630,1.59039009,1.54151630,1.59039009,2.48788691,2.55143905,2.25318980,2.48788691,2.55143905,2.44337416,1.13468742,1.19580626,1.13468742,1.19580626,0.00064117,0.00061944,0.00056383,0.00060889
23.00000000,1.32027471,0.00331464,0.00325282,0.00325106,1.86499715,1.91805887,1.86499715,1.91805887,2.49396467,2.55666924,2.26772475,2.49396467,2.55666924,2.45105934,1.20920134,1.26624334,1.20920134,1.26624334,0.00070617,0.00068487,0.00062925,0.00067432
24.00000000,1.33977699,0.00335331,0.00328639,0.00328432,1.99570763,2.05728102,1.99570763,2.05728102,2.51153588,2.57412195,2.29295707,2.51153588,2.57412195,2.47007823,1.31330025,1.36835790,1.31330025,1.36835790,0.00078350,0.00076207,0.00070646,0.00075152
25.00000000,1.35930860,0.00336964,0.00330114,0.00329878,2.03301501,2.10298896,2.03301501,2.10298896,2.53206205,2.59512925,2.32038093,2.53206205,2.59512925,2.49190974,1.43157637,1.48649204,1.43157637,1.48649204,0.00087138,0.00084916,0.00079355,0.00083861
26.00000000,1.37877643,0.00337606,0.00330662,0.00330402,2.05656552,2.13366866,2.05656552,2.13366866,2.55405283,2.61801314,2.34858274,2.55405283,2.61801314,2.51507974,1.56854415,1.62554741,1.56854415,1.62554741,0.00096365,0.00093995,0.00088434,0.00092940
27.00000000,1.39814210,0.00337837,0.00330837,0.00330557,2.07214451,2.15493560,2.07214451,2.15493560,2.57671428,2.64183378,2.37687349,2.57671428,2.64183378,2.53880167,1.70132923,1.76152694,1.70132923,1.76152694,0.00106675,0.00104089,0.00098528,0.00103034
28.00000000,1.41738737,0.00337884,0.00330857,0.00330563,2.07971811,2.16667366,2.07971811,2.16667366,2.59938145,2.66577411,2.40466237,2.59938145,2.66577411,2.56244659,1.75660229,1.82051992,1.75660229,1.82051992,0.00113006,0.00110197,0.00104636,0.00109142
29.00000000,1.43650246,0.00337845,0.00330782,0.00330479,2.09071589,2.18032813,2.09071589,2.18032813,2.62222457,2.68991089,2.43218231,2.62222457,2.68991089,2.58617902,1.84649587,1.91468740,1.84649587,1.91468740,0.00120724,0.00117672,0.00112111,0.00116617
30.00000000,1.45548308,0.00337768,0.00330662,0.00330356,2.10379887,2.19449949,2.10379887,2.19449949,2.64528537,2.71419835,2.45955348,2.64528537,2.71419835,2.61005187,1.88313222,1.95516217,1.88313222,1.95516217,0.00125902,0.00122628,0.00117066,0.00121573
31.00000000,1.47432780,0.00337675,0.00330528,0.00330223,2.11675549,2.20699167,2.11675549,2.20699167,2.66848612,2.73847651,2.48673773,2.66848612,2.73847651,2.63401556,2.00386405,2.07970357,2.00386405,2.07970357,0.00136319,0.00132788,0.00127226,0.00131733
32.00000000,1.49303579,0.00337575,0.00330385,0.00330088,2.13002419,2.21814895,2.13002419,2.21814895,2.69178343,2.76265955,2.51374197,2.69178343,2.76265955,2.65801573,2.05762005,2.13715672,2.05762005,2.13715672,0.00143131,0.00139361,0.00133799,0.00138306
