rpm,torque,efficiency
0.000000,0.000000,0.808150
161.958572,0.000000,0.808139
323.917145,0.000000,0.808061
485.875702,0.000000,0.807933
647.834290,0.000000,0.807762
809.792847,0.000000,0.807552
971.751404,0.000000,0.807306
1133.709961,0.000000,0.807027
1295.668579,0.000000,0.806715
1457.627075,0.000000,0.806372
1619.585693,0.000000,0.805998
1781.544312,0.000000,0.805593
1943.502808,0.000000,0.805158
2105.461426,0.000000,0.804690
2267.419922,0.000000,0.804191
2429.378418,0.000000,0.803658
2591.337158,0.000000,0.803090
2753.295654,0.000000,0.802487
2915.254150,0.000000,0.801846
3077.212891,0.000000,0.801167
3239.171387,0.000000,0.800449
3401.129883,0.000000,0.799689
3563.088623,0.000000,0.798887
3725.047119,0.000000,0.798043
3887.005615,0.000000,0.797156
4048.964111,0.000000,0.796227
4210.922852,0.000000,0.795254
4372.881348,0.000000,0.794239
4534.839844,0.000000,0.793183
4696.798340,0.000000,0.792086
4858.756836,0.000000,0.790951
5020.715820,0.000000,0.789779
5182.674316,0.000000,0.788572
5344.632812,0.000000,0.787332
5506.591309,0.000000,0.786061
5668.549805,0.000000,0.784761
5830.508301,0.000000,0.783434
5992.467285,0.000000,0.782083
6154.425781,0.000000,0.780708
6316.384277,0.000000,0.779312
6478.342773,0.000000,0.777897
6640.301270,0.000000,0.776463
6802.259766,0.000000,0.775012
6964.218262,0.000000,0.773545
7126.177246,0.000000,0.772062
7288.135742,0.000000,0.770563
7450.094238,0.000000,0.769050
7612.052734,0.000000,0.767521
7774.011230,0.000000,0.765978
7935.969727,0.000000,0.764420
8097.928223,0.000000,0.762846
8259.886719,0.000000,0.761257
8421.845703,0.000000,0.759651
8583.803711,0.000000,0.758030
8745.762695,0.000000,0.756391
8907.721680,0.000000,0.754735
9069.679688,0.000000,0.753062
9231.638672,0.000000,0.751371
9393.596680,0.000000,0.749662
9555.555664,0.000000,0.747934
0.000000,1.632653,0.809139
161.958572,1.632653,0.809148
323.917145,1.632653,0.809094
485.875702,1.632653,0.808993
647.834290,1.632653,0.808851
809.792847,1.632653,0.808674
971.751404,1.632653,0.808463
1133.709961,1.632653,0.808223
1295.668579,1.632653,0.807952
1457.627075,1.632653,0.807653
1619.585693,1.632653,0.807326
1781.544312,1.632653,0.806969
1943.502808,1.632653,0.806583
2105.461426,1.632653,0.806166
2267.419922,1.632653,0.805717
2429.378418,1.632653,0.805233
2591.337158,1.632653,0.804713
2753.295654,1.632653,0.804155
2915.254150,1.632653,0.803557
3077.212891,1.632653,0.802916
3239.171387,1.632653,0.802231
3401.129883,1.632653,0.801500
3563.088623,1.632653,0.800720
3725.047119,1.632653,0.799892
3887.005615,1.632653,0.799014
